epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5561,1.14011,2.3566,3.43051,1.0524,0.00333,1,0.73893,0.6539,0.00333,1,0.73893,0.6452,0.61974,1.17866,3.54323,0.94774,0.0001,0.0001,0.0001
2,77.1199,0.87284,1.22232,2.33581,0.9341,0.00333,1,0.995,0.75662,0.00333,1,0.995,0.70905,0.80176,1.24306,2.99433,0.8818,0.000215644,0.000215644,0.000215644
3,105.806,0.78297,1.0812,1.49751,0.90252,0.00333,1,0.995,0.82892,0.00333,1,0.995,0.86716,0.62933,0.72356,3.01701,0.83001,0.000326536,0.000326536,0.000326536
4,133.422,0.77322,0.88527,1.44653,0.90627,1,0.80122,0.995,0.8007,1,0.80122,0.995,0.88102,0.6662,0.68396,2.9473,0.86413,0.000432676,0.000432676,0.000432676
5,161.904,0.70916,0.90795,1.39223,0.90673,0.00333,1,0.97147,0.80463,0.00333,1,0.97147,0.87245,0.5976,0.6878,3.03922,0.85744,0.000534064,0.000534064,0.000534064
6,190.275,0.69719,0.78174,1.32335,0.92361,0.96103,0.75,0.94784,0.75498,0.96103,0.75,0.94784,0.87011,0.66949,0.72046,3.06671,0.86218,0.0006307,0.0006307,0.0006307
7,218.193,0.64967,0.75515,1.19838,0.88437,1,0.6366,0.91976,0.68777,1,0.6366,0.91976,0.83234,0.62719,0.5854,3.02396,0.84471,0.000722584,0.000722584,0.000722584
8,246.481,0.67128,0.70344,1.21153,0.90757,1,0.74606,0.79211,0.67466,1,0.74606,0.79211,0.69186,0.55788,0.96102,3.23399,0.83194,0.000809716,0.000809716,0.000809716
9,275.21,0.69968,0.91773,1.19415,0.91568,1,0.74966,0.83206,0.67088,1,0.74966,0.83206,0.75638,0.6055,0.74643,2.80061,0.83634,0.000892096,0.000892096,0.000892096
10,304.503,0.59856,0.63208,1.07738,0.8824,0.89802,0.73515,0.82465,0.68348,0.89802,0.73515,0.82465,0.71918,0.59675,0.90048,3.04977,0.87654,0.000969724,0.000969724,0.000969724
11,332.325,0.66234,0.7269,1.19268,0.90795,1,0.68058,0.79488,0.60155,1,0.68058,0.79611,0.67015,0.63088,1.05449,2.96541,0.87234,0.0010426,0.0010426,0.0010426
12,361.395,0.67969,0.75451,1.11589,0.91071,1,0.47393,0.995,0.84982,1,0.47393,0.995,0.83663,0.58991,0.92319,2.94737,0.86439,0.00111072,0.00111072,0.00111072
13,390.405,0.64091,0.77594,1.01701,0.919,1,0.85998,0.995,0.86598,1,0.85998,0.995,0.8839,0.53814,0.76917,2.71189,0.88202,0.0011741,0.0011741,0.0011741
14,420.538,0.57057,0.64396,0.98751,0.90186,0.90944,0.83712,0.94257,0.80771,0.90944,0.83712,0.94257,0.84227,0.5622,0.70251,2.59615,0.87414,0.00123272,0.00123272,0.00123272
15,448.416,0.62532,0.67202,1.00223,0.90648,0.91923,0.94994,0.95038,0.79441,0.91923,0.94994,0.95038,0.81278,0.56346,0.6627,2.46648,0.88355,0.00128658,0.00128658,0.00128658
16,476.504,0.59724,0.61962,0.9852,0.90157,0.90739,1,0.96962,0.8534,0.90739,1,0.96962,0.86952,0.52083,0.55687,1.97963,0.8543,0.0013357,0.0013357,0.0013357
17,506.044,0.60338,0.50426,0.92262,0.90579,0.97523,1,0.995,0.85305,0.97523,1,0.995,0.90397,0.48667,0.51453,2.03556,0.8475,0.0013664,0.0013664,0.0013664
18,538.694,0.67039,0.62966,1.07506,0.92523,1,0.98606,0.995,0.90317,1,0.98606,0.995,0.93319,0.41824,0.4605,1.37141,0.82635,0.0013268,0.0013268,0.0013268
19,568.893,0.59266,0.59331,0.92722,0.90362,1,0.98228,0.995,0.90981,1,0.98228,0.995,0.93075,0.43413,0.48966,1.24551,0.84162,0.0012872,0.0012872,0.0012872
20,597.631,0.53577,0.48384,0.79303,0.88583,0.99755,1,0.995,0.9132,0.99755,1,0.995,0.93613,0.37892,0.553,1.26794,0.81453,0.0012476,0.0012476,0.0012476
